ダウンロードした時刻：2022/02/11 09:21:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,苫小牧,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,富士山,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）,昭和（南極）
2021,1,27,8,8,1,0.1,8,-2.2,8,1,-8.5,8,14,8,1,8.9,8,8.2,8,1,2.7,8,-6.8,8,1,-15.8,8,-15.2,8,1,-22.2,8,3.5,8,1,1.3,8,-1.1,8,1,-4.2,8
2021,1,28,-0.9,8,1,0.1,8,-4.6,8,1,-8.5,8,11.3,8,1,8.9,8,5.3,8,1,2.6,8,-9.4,8,1,-15.8,8,-17.8,8,1,-22.3,8,3,8,1,1.2,8,-3,8,1,-4.2,8
2021,1,29,0.9,8,1,0.1,8,-4.2,8,1,-8.5,8,10.3,8,1,8.9,8,0.8,8,1,2.6,8,-17.7,8,1,-15.8,8,-26.9,8,1,-22.3,8,-0.3,8,1,1.1,8,-4,8,1,-4.3,8
2021,1,30,0.8,8,1,0.1,8,-6.5,8,1,-8.6,8,8.5,8,1,9,8,-0.3,8,1,2.6,8,-20.9,8,1,-15.8,8,-25,8,1,-22.3,8,5.3,8,1,1,8,-3.3,8,1,-4.3,8
2021,1,31,-1.4,8,1,0.1,8,-11.4,8,1,-8.6,8,10.8,8,1,9,8,4.9,8,1,2.6,8,-15,8,1,-15.8,8,-20.9,8,1,-22.3,8,2.5,8,1,1,8,-6,8,1,-4.4,8
2021,2,1,3.9,8,1,0.1,8,-12.7,8,1,-8.6,8,14.6,8,1,9,8,4.6,8,1,2.6,8,-9.3,8,1,-15.7,8,-17.8,8,1,-22.2,8,-1.6,8,1,0.9,8,-10.4,8,1,-4.4,8
2021,2,2,5,8,1,0.1,8,-8.8,8,1,-8.7,8,14.2,8,1,9,8,3.7,8,1,2.7,8,-7.6,8,1,-15.7,8,-20.9,8,1,-22.2,8,-0.5,8,1,0.8,8,-9.3,8,1,-4.5,8
2021,2,3,-6,8,1,0.1,8,-12.5,8,1,-8.7,8,7.9,8,1,9.1,8,3,8,1,2.7,8,-17.8,8,1,-15.6,8,-22.8,8,1,-22.1,8,-1.9,8,1,0.7,8,-9.6,8,1,-4.6,8
2021,2,4,-2.9,8,1,0.1,8,-15,8,1,-8.7,8,10.8,8,1,9.1,8,2.2,8,1,2.7,8,-19.3,8,1,-15.5,8,-24.2,8,1,-22.1,8,-3.3,8,1,0.5,8,-7.5,8,1,-4.7,8
2021,2,5,-2,8,1,0.2,8,-10.4,8,1,-8.7,8,11.2,8,1,9.2,8,3.8,8,1,2.8,8,-13.9,8,1,-15.4,8,-22.7,8,1,-22,8,-0.5,8,1,0.4,8,-8.1,8,1,-4.9,8
2021,2,6,5.9,8,1,0.2,8,-5.1,8,1,-8.7,8,15.2,8,1,9.3,8,7,8,1,2.8,8,-12.5,8,1,-15.3,8,-16.9,8,1,-21.9,8,0.9,8,1,0.3,8,-4.3,8,1,-5,8
2021,2,7,2.9,8,1,0.3,8,-7.1,8,1,-8.6,8,14.9,8,1,9.3,8,5.7,8,1,2.8,8,-13.1,8,1,-15.2,8,-19.2,8,1,-21.8,8,1.2,8,1,0.2,8,-3.6,8,1,-5.1,8
2021,2,8,-2.7,8,1,0.4,8,-10.5,8,1,-8.5,8,10.5,8,1,9.4,8,3.3,8,1,2.9,8,-18.8,8,1,-15.1,8,-26.4,8,1,-21.8,8,-0.7,8,1,0,8,-2.7,8,1,-5.2,8
2021,2,9,-1.1,8,1,0.4,8,-8.7,8,1,-8.5,8,7.5,8,1,9.5,8,1.2,8,1,3,8,-19.1,8,1,-15,8,-26.8,8,1,-21.7,8,2.8,8,1,-0.1,8,-3.3,8,1,-5.3,8
2021,2,10,1.7,8,1,0.5,8,-6.4,8,1,-8.4,8,10.3,8,1,9.6,8,3.4,8,1,3,8,-14.6,8,1,-14.9,8,-21.4,8,1,-21.6,8,2.3,8,1,-0.2,8,-2.5,8,1,-5.4,8
2021,2,11,1.5,8,1,0.6,8,-5.9,8,1,-8.3,8,13.9,8,1,9.7,8,4.9,8,1,3.1,8,-10.7,8,1,-14.7,8,-22.2,8,1,-21.5,8,0.4,8,1,-0.3,8,-4.1,8,1,-5.4,8
2021,2,12,4.1,8,1,0.7,8,-5.9,8,1,-8.1,8,13.4,8,1,9.8,8,7,8,1,3.1,8,-9,8,1,-14.6,8,-11.2,8,1,-21.4,8,-1.3,8,1,-0.4,8,-3.8,8,1,-5.5,8
2021,2,13,3,8,1,0.8,8,-5,8,1,-8,8,18,8,1,9.9,8,8.9,8,1,3.2,8,-7.9,8,1,-14.5,8,-11.5,8,1,-21.3,8,-3.1,8,1,-0.5,8,-8,8,1,-5.5,8
2021,2,14,2.9,8,1,0.9,8,-1,8,1,-7.9,8,18.8,8,1,9.9,8,9.8,8,1,3.3,8,-6.7,8,1,-14.3,8,-10.7,8,1,-21.2,8,-4.6,8,1,-0.5,8,-11.2,8,1,-5.6,8
2021,2,15,6.7,8,1,1,8,1.1,8,1,-7.8,8,17.8,8,1,10,8,9.9,8,1,3.3,8,-1.7,8,1,-14.2,8,-16.8,8,1,-21.1,8,-3.9,8,1,-0.6,8,-8,8,1,-5.6,8
2021,2,16,4.9,8,1,1.1,8,-4.8,8,1,-7.7,8,10.5,8,1,10.1,8,5.8,8,1,3.4,8,-16.9,8,1,-14.1,8,-23.8,8,1,-21,8,-1.6,8,1,-0.7,8,-7.1,8,1,-5.7,8
2021,2,17,-1,8,1,1.2,8,-6,8,1,-7.6,8,8.7,8,1,10.2,8,-0.4,8,1,3.5,8,-22.3,8,1,-14,8,-31.2,8,1,-20.9,8,-1,8,1,-0.8,8,-4.6,8,1,-5.7,8
2021,2,18,3.2,8,1,1.3,8,-3.7,8,1,-7.5,8,6.3,8,1,10.3,8,-1.2,8,1,3.5,8,-23.1,8,1,-13.9,8,-31.7,8,1,-20.8,8,-1,8,1,-0.9,8,-5.6,8,1,-5.8,8
2021,2,19,4,8,1,1.3,8,-4.3,8,1,-7.4,8,8,8,1,10.4,8,0.9,8,1,3.6,8,-14.3,8,1,-13.8,8,-28.3,8,1,-20.7,8,-0.5,8,1,-1,8,-4,8,1,-5.9,8
2021,2,20,7.9,8,1,1.4,8,-1.3,8,1,-7.3,8,13.9,8,1,10.5,8,3.6,8,1,3.7,8,-12,8,1,-13.7,8,-16.6,8,1,-20.6,8,-2.3,8,1,-1.2,8,-5.4,8,1,-6,8
2021,2,21,1.5,8,1,1.5,8,-4.1,8,1,-7.2,8,19.8,8,1,10.6,8,7.9,8,1,3.8,8,-6.7,8,1,-13.6,8,-14.3,8,1,-20.4,8,-1.8,8,1,-1.3,8,-6.7,8,1,-6.1,8
2021,2,22,0.8,8,1,1.6,8,-6.4,8,1,-7.1,8,20.1,8,1,10.7,8,8.9,8,1,3.9,8,-7.4,8,1,-13.4,8,-12,8,1,-20.3,8,-5.5,8,1,-1.4,8,-9,8,1,-6.2,8
2021,2,23,1.4,8,1,1.7,8,-4.6,8,1,-7,8,16,8,1,10.9,8,5.9,8,1,4,8,-11.8,8,1,-13.3,8,-16.3,8,1,-20.2,8,-6.5,8,1,-1.6,8,-8.3,8,1,-6.4,8
2021,2,24,-0.7,8,1,1.8,8,-8.7,8,1,-6.9,8,11,8,1,11,8,3.1,8,1,4.2,8,-15.6,8,1,-13.1,8,-21.1,8,1,-20,8,-5,8,1,-1.8,8,-9.5,8,1,-6.5,8
2021,2,25,-0.1,8,1,1.9,8,-9.4,8,1,-6.8,8,11.5,8,1,11.1,8,2.3,8,1,4.3,8,-15.2,8,1,-13,8,-21.4,8,1,-19.9,8,-5,8,1,-1.9,8,-8.7,8,1,-6.7,8
2021,2,26,0.6,8,1,2,8,-7.5,8,1,-6.6,8,10.1,8,1,11.3,8,6.2,8,1,4.4,8,-12.2,8,1,-12.8,8,-19.2,8,1,-19.7,8,-2.6,8,1,-2.1,8,-11.2,8,1,-6.8,8
2021,2,27,-0.9,8,1,2,8,-9,8,1,-6.5,8,10.2,8,1,11.4,8,4.9,8,1,4.6,8,-10,8,1,-12.7,8,-18.6,8,1,-19.6,8,-1.5,8,1,-2.2,8,-11.3,8,1,-7,8
2021,2,28,5.7,8,1,2.1,8,-9.4,8,1,-6.3,8,15,8,1,11.5,8,4.8,8,1,4.7,8,-7.3,8,1,-12.6,8,-10.8,8,1,-19.5,8,-0.3,8,1,-2.4,8,-16.1,8,1,-7.2,8
2021,3,1,6.7,8,1,2.2,8,-1.9,8,1,-6.2,8,19.2,8,1,11.6,8,10.4,8,1,4.8,8,-2.8,8,1,-12.4,8,-9.9,8,1,-19.3,8,-3.7,8,1,-2.6,8,-16.7,8,1,-7.3,8
2021,3,2,-0.9,8,1,2.3,8,-3.7,8,1,-6.1,8,17.1,8,1,11.8,8,4.3,8,1,4.9,8,-1.4,8,1,-12.3,8,-15.1,8,1,-19.2,8,-3.6,8,1,-2.7,8,-16.8,8,1,-7.5,8
2021,3,3,-1.2,8,1,2.4,8,-10.2,8,1,-5.9,8,10.9,8,1,11.9,8,4,8,1,5,8,-11.8,8,1,-12.3,8,-18.9,8,1,-19.2,8,-3.9,8,1,-2.9,8,-17.8,8,1,-7.7,8
2021,3,4,2.3,8,1,2.5,8,-10.8,8,1,-5.8,8,16,8,1,12,8,4.9,8,1,5.1,8,-7.4,8,1,-12.2,8,-13.8,8,1,-19.1,8,0.7,8,1,-3,8,-9.5,8,1,-7.8,8
2021,3,5,6.6,8,1,2.6,8,1.2,8,1,-5.6,8,14.8,8,1,12.1,8,10.8,8,1,5.1,8,-5.9,8,1,-12.2,8,-12.9,8,1,-19,8,-1.1,8,1,-3.1,8,-8.2,8,1,-8,8
2021,3,6,4.6,8,1,2.7,8,-8.6,8,1,-5.4,8,16.8,8,1,12.2,8,6.3,8,1,5.2,8,-5.5,8,1,-12.1,8,-11.6,8,1,-19,8,-2.6,8,1,-3.3,8,-9.2,8,1,-8.2,8
2021,3,7,1.1,8,1,2.8,8,-8.6,8,1,-5.3,8,11.9,8,1,12.3,8,5.2,8,1,5.3,8,-11,8,1,-12.1,8,-13.9,8,1,-18.9,8,1.1,8,1,-3.4,8,-9.7,8,1,-8.3,8
2021,3,8,4.2,8,1,3,8,-7,8,1,-5.1,8,13.3,8,1,12.4,8,5.8,8,1,5.3,8,-9.3,8,1,-12,8,-16.8,8,1,-18.9,8,-2,8,1,-3.5,8,-8.2,8,1,-8.5,8
2021,3,9,3,8,1,3.1,8,-8,8,1,-4.9,8,12.2,8,1,12.5,8,4.3,8,1,5.4,8,-11.3,8,1,-12,8,-17.3,8,1,-18.8,8,-5.8,8,1,-3.7,8,-10.1,8,1,-8.7,8
2021,3,10,6.1,8,1,3.3,8,-1.7,8,1,-4.7,8,16.8,8,1,12.6,8,6.6,8,1,5.5,8,-12.6,8,1,-11.9,8,-14.9,8,1,-18.7,8,-4,8,1,-3.8,8,-8.2,8,1,-8.9,8
2021,3,11,7.9,8,1,3.5,8,-5.1,8,1,-4.5,8,12.9,8,1,12.7,8,4.3,8,1,5.6,8,-9.8,8,1,-11.8,8,-13.9,8,1,-18.6,8,-4.9,8,1,-4,8,-10.6,8,1,-9.1,8
2021,3,12,7.8,8,1,3.7,8,-0.5,8,1,-4.3,8,16.5,8,1,12.9,8,9.3,8,1,5.6,8,-8.9,8,1,-11.6,8,-13.3,8,1,-18.5,8,-3,8,1,-4.1,8,-8.8,8,1,-9.3,8
2021,3,13,4.5,8,1,3.9,8,-3.9,8,1,-4.1,8,15.7,8,1,13,8,8.6,8,1,5.8,8,-6.7,8,1,-11.5,8,-13.2,8,1,-18.3,8,-6.8,8,1,-4.3,8,-13.6,8,1,-9.6,8
2021,3,14,12.2,8,1,4.1,8,2.2,8,1,-3.9,8,15.8,8,1,13.2,8,6.6,8,1,5.9,8,-13.3,8,1,-11.3,8,-16.7,8,1,-18.2,8,-7.7,8,1,-4.5,8,-14.8,8,1,-9.8,8
2021,3,15,15.5,8,1,4.3,8,2.7,8,1,-3.7,8,16.4,8,1,13.3,8,6.8,8,1,6,8,-8.9,8,1,-11.1,8,-15.9,8,1,-18,8,-5.4,8,1,-4.6,8,-12.8,8,1,-10,8
2021,3,16,5.8,8,1,4.5,8,-1.5,8,1,-3.5,8,17.1,8,1,13.5,8,10,8,1,6.2,8,-5.1,8,1,-10.9,8,-13.7,8,1,-17.8,8,-5.4,8,1,-4.8,8,-7.8,8,1,-10.2,8
2021,3,17,7.5,8,1,4.7,8,1.6,8,1,-3.3,8,17,8,1,13.6,8,7.1,8,1,6.3,8,-5.4,5,1,-10.7,8,-9.1,5,1,-17.6,8,-6.6,8,1,-5,8,-11.3,8,1,-10.4,8
2021,3,18,5.3,8,1,4.9,8,1.4,8,1,-3.2,8,16.1,8,1,13.8,8,6.2,8,1,6.4,8,-5.2,5,1,-10.5,8,-9.6,5,1,-17.4,8,-3.8,8,1,-5.1,8,-14.7,8,1,-10.6,8
2021,3,19,5.1,8,1,5,8,-1.1,8,1,-3,8,18.5,8,1,13.9,8,8.5,8,1,6.6,8,-6.7,8,1,-10.3,8,-10.2,8,1,-17.2,8,-2.1,8,1,-5.2,8,-4.7,8,1,-10.7,8
2021,3,20,6,8,1,5.2,8,-0.8,8,1,-2.9,8,19.9,8,1,14,8,10.9,8,1,6.7,8,-3.8,5,1,-10.2,8,-9.4,5,1,-17.1,8,-1.8,8,1,-5.3,8,-8.3,8,1,-10.9,8
2021,3,21,4.5,8,1,5.3,8,-1.1,8,1,-2.7,8,18.5,8,1,14.2,8,11.8,8,1,6.9,8,-0.2,5,1,-10.1,8,-5.7,5,1,-17,8,-4.1,8,1,-5.4,8,-9.6,8,1,-10.9,8
2021,3,22,8.2,8,1,5.5,8,2.1,8,1,-2.6,8,13.9,8,1,14.3,8,7,8,1,7,8,-3.3,8,1,-10,8,-21.3,8,1,-16.8,8,-2.7,8,1,-5.5,8,-4.6,8,1,-11,8
2021,3,23,9.5,8,1,5.7,8,-1.5,8,1,-2.5,8,13.6,8,1,14.4,8,5.6,8,1,7.2,8,-9.4,5,1,-9.9,8,-21.5,5,1,-16.7,8,-3.1,8,1,-5.6,8,-6.3,8,1,-11,8
2021,3,24,9.3,8,1,5.8,8,3.3,8,1,-2.4,8,18.2,8,1,14.6,8,7.9,8,1,7.3,8,-6.9,8,1,-9.8,8,-11,8,1,-16.6,8,-5.9,8,1,-5.6,8,-10.2,8,1,-11,8
2021,3,25,9.2,8,1,6,8,3.4,8,1,-2.3,8,15.4,8,1,14.7,8,11.5,8,1,7.4,8,-7.5,5,1,-9.7,8,-14.3,5,1,-16.5,8,-6.2,8,1,-5.6,8,-8.3,8,1,-11,8
2021,3,26,12,8,1,6.1,8,2.6,8,1,-2.1,8,21.2,8,1,14.9,8,9.5,8,1,7.6,8,-8.7,5,1,-9.6,8,-15.5,5,1,-16.4,8,-4.9,8,1,-5.6,8,-7.9,8,1,-10.9,8
2021,3,27,7.2,8,1,6.3,8,0.3,8,1,-2,8,18.3,8,1,15.1,8,8.3,8,1,7.7,8,-5.7,5,1,-9.5,8,-8.9,5,1,-16.3,8,-4.4,8,1,-5.6,8,-6.7,8,1,-10.9,8
2021,3,28,8,8,1,6.5,8,1.4,8,1,-1.8,8,16.7,8,1,15.2,8,14.3,8,1,7.9,8,-3.5,5,1,-9.3,8,-10.8,5,1,-16.1,8,-1.4,8,1,-5.7,8,-5.2,8,1,-10.9,8
2021,3,29,8,8,1,6.7,8,4.4,8,1,-1.7,8,20.8,8,1,15.5,8,13,8,1,8.1,8,-1.6,5,1,-9.2,8,-10.5,5,1,-15.9,8,-1.7,5,1,-5.7,8,-4.5,8,1,-11,8
2021,3,30,9.5,8,1,6.9,8,3.1,8,1,-1.5,8,22.4,8,1,15.7,8,12.8,8,1,8.3,8,-5.8,5,1,-9,8,-10.2,5,1,-15.7,8,-2.5,8,1,-5.7,8,-18.1,8,1,-11,8
2021,3,31,14,8,1,7,8,1,8,1,-1.3,8,18.9,8,1,15.9,8,11.3,8,1,8.4,8,-6.6,8,1,-8.8,8,-10.4,8,1,-15.4,8,-2.6,8,1,-5.8,8,-17,8,1,-11.1,8
2021,4,1,13.5,8,1,7.2,8,-0.3,8,1,-1.1,8,21.9,8,1,16.1,8,11.1,8,1,8.6,8,-3.1,8,1,-8.6,8,-10.3,8,1,-15.2,8,-1.2,8,1,-5.9,8,-3.3,8,1,-11.2,8
2021,4,2,7,8,1,7.4,8,0.4,8,1,-1,8,23.8,8,1,16.4,8,15.8,8,1,8.8,8,-0.4,8,1,-8.4,8,-4.4,8,1,-14.9,8,-3.2,8,1,-6,8,-6.8,8,1,-11.4,8
2021,4,3,6.7,8,1,7.6,8,1.9,8,1,-0.8,8,21,8,1,16.6,8,15.9,8,1,9,8,-0.9,8,1,-8.1,8,-4.2,8,1,-14.7,8,-5.5,8,1,-6.1,8,-9.7,8,1,-11.5,8
2021,4,4,8.7,8,1,7.8,8,3.4,8,1,-0.6,8,19.8,8,1,16.8,8,13.6,8,1,9.2,8,-0.6,8,1,-7.9,8,-4.6,8,1,-14.4,8,-6.4,8,1,-6.3,8,-10.6,8,1,-11.7,8
2021,4,5,11.8,8,1,7.9,8,0.7,8,1,-0.4,8,15.6,8,1,17,8,9.6,8,1,9.4,8,-1.3,8,1,-7.7,8,-11.1,8,1,-14.2,8,-5.7,8,1,-6.4,8,-15.6,8,1,-11.9,8
2021,4,6,6.3,8,1,8.1,8,-0.3,8,1,-0.3,8,14.2,8,1,17.2,8,8.7,8,1,9.6,8,-7,8,1,-7.6,8,-12.4,8,1,-14,8,-7.7,8,1,-6.5,8,-14.3,8,1,-12,8
2021,4,7,5.5,8,1,8.3,8,2.1,8,1,-0.1,8,18.7,8,1,17.4,8,9.7,8,1,9.8,8,-11.9,8,1,-7.4,8,-16.2,8,1,-13.7,8,-9.2,8,1,-6.7,8,-13.3,8,1,-12.2,8
2021,4,8,8,8,1,8.4,8,-0.9,8,1,0,8,18.7,8,1,17.5,8,10.7,8,1,10,8,-12.1,5,1,-7.2,8,-17.8,5,1,-13.5,8,-12.2,8,1,-6.8,8,-23.8,8,1,-12.3,8
2021,4,9,5.6,8,1,8.6,8,-3.9,8,1,0.2,8,17.1,8,1,17.7,8,7,8,1,10.2,8,-14.1,5,1,-7,8,-17.9,5,1,-13.3,8,-11.7,8,1,-6.9,8,-26.5,8,1,-12.4,8
2021,4,10,12.3,8,1,8.7,8,-0.4,8,1,0.4,8,15.4,8,1,17.9,8,5.7,8,1,10.4,8,-11.2,5,1,-6.9,8,-15.9,5,1,-13.2,8,-4.2,8,1,-7,8,-12.1,8,1,-12.5,8
2021,4,11,12.6,8,1,8.8,8,-1.9,8,1,0.5,8,18.4,8,1,18.1,8,7.4,8,1,10.6,8,-8.9,5,1,-6.7,8,-15.7,5,1,-13,8,-5.1,8,1,-7.1,8,-9.4,8,1,-12.6,8
2021,4,12,9.3,8,1,9,8,-1.2,8,1,0.7,8,20.8,8,1,18.3,8,12.6,8,1,10.8,8,-2.7,5,1,-6.5,8,-10.2,5,1,-12.8,8,-8.7,8,1,-7.2,8,-13.3,8,1,-12.7,8
2021,4,13,7.9,8,1,9.1,8,5.1,8,1,0.9,8,19.9,8,1,18.5,8,15,8,1,11,8,-1.9,5,1,-6.3,8,-10.4,5,1,-12.6,8,-10.4,8,1,-7.3,8,-17.6,8,1,-12.8,8
2021,4,14,7.9,8,1,9.2,8,0.3,8,1,1,8,20,8,1,18.6,8,8.7,8,1,11.2,8,-0.6,8,1,-6.1,8,-11.7,8,1,-12.4,8,-13.4,8,1,-7.5,8,-19.6,8,1,-13,8
2021,4,15,12.4,8,1,9.4,8,-0.9,8,1,1.2,8,17.6,8,1,18.8,8,6.7,8,1,11.4,8,-7.4,8,1,-6,8,-13,8,1,-12.2,8,-9.5,8,1,-7.6,8,-15.6,8,1,-13.1,8
2021,4,16,10,8,1,9.5,8,-1,8,1,1.4,8,20.1,8,1,19,8,13.4,8,1,11.6,8,-4.1,5,1,-5.7,8,-11.2,5,1,-12,8,-10.7,8,1,-7.8,8,-15.9,8,1,-13.3,8
2021,4,17,7.2,8,1,9.7,8,5.8,8,1,1.6,8,15.3,8,1,19.2,8,13,8,1,11.8,8,-2.7,5,1,-5.5,8,-6.8,5,1,-11.8,8,-13,8,1,-8,8,-16.5,8,1,-13.5,8
2021,4,18,10.1,8,1,9.8,8,5.2,8,1,1.7,8,15.6,8,1,19.4,8,8.5,8,1,12,8,-7.2,5,1,-5.4,8,-17.5,5,1,-11.7,8,-8.1,8,1,-8.2,8,-14.4,8,1,-13.7,8
2021,4,19,15.7,8,1,10,8,4.8,8,1,1.9,8,17.5,8,1,19.6,8,8.4,8,1,12.2,8,-11.1,5,1,-5.2,8,-16.5,5,1,-11.5,8,-7.1,8,1,-8.3,8,-15,8,1,-13.9,8
2021,4,20,15.2,8,1,10.2,8,3.7,8,1,2.1,8,22.1,8,1,19.7,8,10.9,8,1,12.4,8,-7.2,8,1,-5,8,-12.3,8,1,-11.3,8,-14.2,8,1,-8.5,8,-23,8,1,-14.1,8
2021,4,21,13.6,8,1,10.3,8,1.7,8,1,2.2,8,22.7,8,1,19.9,8,13.3,8,1,12.5,8,-7.7,8,1,-4.8,8,-11.5,8,1,-11.2,8,-12,8,1,-8.7,8,-27.6,8,1,-14.3,8
2021,4,22,13,8,1,10.5,8,3.1,8,1,2.4,8,25.1,8,1,20,8,13.1,8,1,12.7,8,-7.9,8,1,-4.7,8,-10.5,8,1,-11,8,-5.5,8,1,-8.9,8,-12.7,8,1,-14.5,8
2021,4,23,16.2,8,1,10.7,8,1.9,8,1,2.6,8,23.3,8,1,20.2,8,13.9,8,1,12.8,8,-6.4,5,1,-4.5,8,-10.7,5,1,-10.9,8,-6.4,8,1,-9,8,-10.1,8,1,-14.7,8
2021,4,24,8.9,8,1,10.9,8,2,8,1,2.7,8,20.2,8,1,20.4,8,16.1,8,1,13,8,-1.5,5,1,-4.4,8,-7.2,5,1,-10.7,8,-5.7,8,1,-9.1,8,-8.6,8,1,-14.8,8
2021,4,25,12.3,8,1,11.1,8,2.1,8,1,2.9,8,22.8,8,1,20.5,8,10.8,8,1,13.2,8,-6.7,5,1,-4.2,8,-10.6,5,1,-10.5,8,-5.4,8,1,-9.2,8,-6.9,8,1,-15,8
2021,4,26,9.7,8,1,11.3,8,-0.1,8,1,3.1,8,19,8,1,20.7,8,9.7,8,1,13.4,8,-7.8,5,1,-4.1,8,-16.6,5,1,-10.3,8,-6.7,8,1,-9.4,8,-8.2,8,1,-15.1,8
2021,4,27,15.8,8,1,11.5,8,-2.1,8,1,3.3,8,19.8,8,1,20.9,8,9.6,8,1,13.6,8,-3.4,8,1,-3.9,8,-8.3,8,1,-10.1,8,-5.5,8,1,-9.5,8,-7.4,8,1,-15.3,8
2021,4,28,11.3,8,1,11.6,8,4.8,8,1,3.5,8,18.3,8,1,21.1,8,15.2,8,1,13.8,8,-4,8,1,-3.7,8,-9,8,1,-9.8,8,-7,8,1,-9.5,8,-10.2,8,1,-15.4,8
2021,4,29,12.1,8,1,11.8,8,6.5,8,1,3.7,8,16.7,8,1,21.3,8,13.1,8,1,14,8,-0.8,8,1,-3.5,8,-5.8,8,1,-9.6,8,-9.4,8,1,-9.6,8,-14.3,8,1,-15.5,8
2021,4,30,11,8,1,12,8,6.7,8,1,3.8,8,21.7,8,1,21.5,8,13.6,8,1,14.2,8,-3.6,5,1,-3.3,8,-12.6,5,1,-9.3,8,-8.2,8,1,-9.7,8,-15.5,8,1,-15.7,8
2021,5,1,14.1,8,1,12.2,8,5.2,8,1,4,8,22.7,8,1,21.7,8,13.9,8,1,14.4,8,-4.7,5,1,-3.1,8,-12.1,5,1,-9,8,-10,8,1,-9.8,8,-23.5,8,1,-15.8,8
2021,5,2,11,8,1,12.3,8,4.8,8,1,4.2,8,16.1,8,1,21.9,8,10.4,8,1,14.6,8,-7,5,1,-2.8,8,-17.4,5,1,-8.7,8,-14.5,8,1,-9.8,8,-22.2,8,1,-15.9,8
2021,5,3,8.4,8,1,12.5,8,3.9,8,1,4.4,8,19.5,8,1,22.1,8,9.9,8,1,14.8,8,-11.7,5,1,-2.6,8,-17.4,5,1,-8.5,8,-11.9,8,1,-9.9,8,-17.9,8,1,-16,8
2021,5,4,16.3,8,1,12.6,8,3.7,8,1,4.6,8,22.1,8,1,22.3,8,13.4,8,1,14.9,8,-2.8,8,1,-2.4,8,-13,8,1,-8.2,8,-10,8,1,-9.9,8,-16,8,1,-16.1,8
2021,5,5,12.3,8,1,12.8,8,5.8,8,1,4.7,8,19.2,8,1,22.4,8,16.1,8,1,15.1,8,-0.3,5,1,-2.2,8,-10,5,1,-8,8,-15.1,8,1,-10,8,-18,8,1,-16.2,8
2021,5,6,15.8,8,1,12.9,8,7.1,8,1,4.9,8,22.5,8,1,22.5,8,12.4,8,1,15.2,8,-0.1,5,1,-1.9,8,-9,5,1,-7.7,8,-15.1,8,1,-10,8,-22.9,8,1,-16.3,8
2021,5,7,14.6,8,1,13,8,5,8,1,5,8,19.7,8,1,22.6,8,15.3,8,1,15.3,8,0,5,1,-1.8,8,-8.9,5,1,-7.5,8,-9.9,8,1,-10.1,8,-16.6,8,1,-16.3,8
2021,5,8,16.3,8,1,13.1,8,8.2,8,1,5.2,8,20.7,8,1,22.7,8,15.7,8,1,15.4,8,-5.4,5,1,-1.6,8,-8.3,5,1,-7.4,8,-7.1,8,1,-10.2,8,-11.5,8,1,-16.4,8
2021,5,9,11.9,8,1,13.3,8,4.1,8,1,5.3,8,25.2,8,1,22.8,8,16.5,8,1,15.5,8,-4.2,5,1,-1.4,8,-9.5,5,1,-7.2,8,-4.6,8,1,-10.3,8,-7.6,8,1,-16.6,8
2021,5,10,15.2,8,1,13.4,8,6.6,8,1,5.5,8,23.4,8,1,22.9,8,13.9,8,1,15.5,8,-4.1,5,1,-1.2,8,-9.7,5,1,-7,8,-3.1,4,1,-10.4,8,-4.6,4,1,-16.7,8
2021,5,11,14.1,8,1,13.5,8,5.5,8,1,5.7,8,23.3,8,1,23,8,16,8,1,15.6,8,-4,8,1,-1.1,8,-10.2,8,1,-6.9,8,-4.3,4,1,-10.6,8,-8,8,1,-16.8,8
2021,5,12,10.6,8,1,13.6,8,3.1,8,1,5.8,8,21,8,1,23,8,15.6,8,1,15.7,8,-0.8,8,1,-1,8,-5.5,8,1,-6.8,8,-7.2,8,1,-10.7,8,-11.1,8,1,-16.9,8
2021,5,13,10.4,8,1,13.7,8,6.9,8,1,6,8,26.7,8,1,23.1,8,17,8,1,15.9,8,3,5,1,-0.9,8,-2.2,5,1,-6.7,8,-9,8,1,-10.8,8,-16.3,8,1,-17,8
2021,5,14,22.2,5,1,13.8,8,7.1,5,1,6.2,8,26.8,8,1,23.2,8,18.9,8,1,16,8,3.1,5,1,-0.8,8,-1.1,5,1,-6.6,8,-11.3,8,1,-10.9,8,-14.8,8,1,-17.1,8
2021,5,15,14.5,8,1,13.9,8,5.3,8,1,6.4,8,24.8,8,1,23.4,8,19.1,8,1,16.1,8,6.3,8,1,-0.7,8,-1.8,8,1,-6.5,8,-8.7,8,1,-11,8,-12.1,8,1,-17.2,8
